***********前后二字交换：***********
一丘一壑, 一壑一丘
一咏一觞, 一觞一咏
一喜一悲, 一悲一喜
一夕一朝, 一朝一夕
一弛一张, 一张一弛
一德一心, 一心一德
一旗一枪, 一枪一旗
一步一趋, 一趋一步
一游一豫, 一豫一游
一瓶一钵, 一钵一瓶
一笑一颦, 一颦一笑
一鞍一马, 一马一鞍
一丁不识, 不识一丁
周三径一, 径一周三
一板三眼, 三眼一板
一文不值, 不值一文
一钱不值, 不值一钱
一文不名, 不名一文
一钱不名, 不名一钱
一字不易, 不易一字
一尘不染, 不染一尘
一毛不拔, 不拔一毛
一钱不直, 不直一钱
一窍不通, 不通一窍
一壶中流, 中流一壶
一寸丹心, 丹心一寸
一匡九合, 九合一匡
一生九死, 九死一生
一言九鼎, 九鼎一言
一掷乾坤, 乾坤一掷
一片冰心, 冰心一片
一刻千金, 千金一刻
劝百讽一, 讽一劝百
一暴十寒, 十寒一暴
一发千钧, 千钧一发
一壶千金, 千金一壶
一壸千金, 千金一壸
一律千篇, 千篇一律
一掷千金, 千金一掷
一时千载, 千载一时
一笑千金, 千金一笑
一诺千金, 千金一诺
一知半解, 半解一知
一场春梦, 春梦一场
一表堂堂, 堂堂一表
一柱擎天, 擎天一柱
一息奄奄, 奄奄一息
一意孤行, 孤行一意
一筹莫展, 莫展一筹
一瓣心香, 心香一瓣
惟一惟精, 惟精惟一
一斑窥豹, 窥豹一斑
一新耳目, 耳目一新
一新面目, 面目一新
一时独步, 独步一时
一致百虑, 百虑一致
孤苦零丁, 零丁孤苦
七擒七纵, 七纵七擒
七死七生, 七生七死
七魄三魂, 三魂七魄
七贵五侯, 五侯七贵
万丈光芒, 光芒万丈
万缕千丝, 千丝万缕
万代千秋, 千秋万代
万家生佛, 生佛万家
万马千军, 千军万马
万剐千刀, 千刀万剐
万别千差, 千差万别
万象包罗, 包罗万象
万古千秋, 千秋万古
万壑千岩, 千岩万壑
万绪千头, 千头万绪
万岁千秋, 千秋万岁
万恨千愁, 千愁万恨
万载千秋, 千秋万载
万苦千辛, 千辛万苦
万古流芳, 流芳万古
万里长城, 长城万里
万家灯火, 灯火万家
万贯家私, 家私万贯
万贯家财, 家财万贯
万年遗臭, 遗臭万年
万象森罗, 森罗万象
万顷烟波, 烟波万顷
万顷碧波, 碧波万顷
万里鹏程, 鹏程万里
万选青钱, 青钱万选
三三两两, 两两三三
三沐三熏, 三熏三沐
三沐三薰, 三薰三沐
三浴三熏, 三熏三浴
三浴三衅, 三衅三浴
三竿日上, 日上三竿
三心两意, 两意三心
三番两次, 两次三番
三教九流, 九流三教
三槐九棘, 九棘三槐
三贞九烈, 九烈三贞
三余读书, 读书三余
三平二满, 二满三平
接二连三, 连三接二
三坟五典, 五典三坟
三皇五帝, 五帝三皇
三户亡秦, 亡秦三户
三从四德, 四德三从
三窟狡兔, 狡兔三窟
三灾八难, 八难三灾
三头六臂, 六臂三头
三推六问, 六问三推
三叠阳关, 阳关三叠
三迭阳关, 阳关三迭
让三让再, 让再让三
三竿日出, 日出三竿
三岛十洲, 十洲三岛
三月忘味, 忘味三月
言三语四, 语四言三
三顾茅庐, 茅庐三顾
三顾草庐, 草庐三顾
三面网开, 网开三面
三日绕梁, 绕梁三日
三绝韦编, 韦编三绝
作乱犯上, 犯上作乱
直上青云, 青云直上
人间天上, 天上人间
上传文件, 文件上传
上传图片, 图片上传
上当受骗, 受骗上当
墙头马上, 马上墙头
幕上燕巢, 燕巢幕上
掌上明珠, 明珠掌上
桑间濮上, 濮上桑间
纸上跃然, 跃然纸上
下载音乐, 音乐下载
下里巴人, 巴人下里
下载软件, 软件下载
修文地下, 地下修文
下载工具, 工具下载
下车冯妇, 冯妇下车
星前月下, 月下星前
月下花前, 花前月下
月下风前, 风前月下
下载图片, 图片下载
下气怡声, 怡声下气
下载铃声, 铃声下载
天下无敌, 无敌天下
天下独步, 独步天下
下寨安营, 安营下寨
下载电影, 电影下载
下载游戏, 游戏下载
下载歌曲, 歌曲下载
李下瓜田, 瓜田李下
不亢不卑, 不卑不亢
不今不古, 不古不今
不吐不茹, 不茹不吐
不夷不惠, 不惠不夷
不屈不挠, 不挠不屈
不徐不疾, 不疾不徐
不折不挠, 不挠不折
不死不生, 不生不死
不痒不痛, 不痛不痒
不睬不瞅, 不瞅不睬
不知不觉, 不觉不知
不知不识, 不识不知
不问不闻, 不闻不问
不分主次, 主次不分
不忘久要, 久要不忘
不识之无, 之无不识
不省人事, 人事不省
不知人事, 人事不知
不测风云, 风云不测
不伏水土, 水土不伏
不修边幅, 边幅不修
不分好歹, 好歹不分
不爽分毫, 分毫不爽
不分玉石, 玉石不分
不分皂白, 皂白不分
不分轩轾, 轩轾不分
不劣方头, 方头不劣
不动声色, 声色不动
不竞南风, 南风不竞
不厌糟糠, 糟糠不厌
不差毫厘, 毫厘不差
不差毫发, 毫发不差
