********************************
1. MODE
********************************
mode	cnum	inum
24	4288	11479 (45 + 39 + 38 + 30 + 28 + 26×2 + 25 + 24 + 23 + 22×2 + 21×2 + 19×2 + 17×3 + 16×2 + 15×5 + 14×4 + 13×5 + 12×12 + 11×9 + 10×10 + 9×11 + 8×21 + 7×42 + 6×50 + 5×108 + 4×208 + 3×632 + 2×3150)
13	4653	12800 (76 + 58 + 38 + 37 + 30 + 29 + 28 + 27×2 + 26×2 + 23×3 + 22×2 + 20×3 + 19×3 + 18×2 + 17×2 + 16×3 + 15×9 + 14×5 + 13×4 + 12×8 + 11×11 + 10×12 + 9×24 + 8×17 + 7×40 + 6×80 + 5×123 + 4×251 + 3×645 + 2×3395)
12	9224	33141 (68 + 61 + 56 + 55 + 48 + 46 + 45 + 41×2 + 40 + 38×2 + 37×4 + 36×4 + 35 + 34×2 + 33×3 + 32×3 + 31×2 + 30×2 + 29×5 + 28×5 + 27×8 + 26×7 + 25×4 + 24×7 + 23×6 + 22×8 + 21×12 + 20×10 + 19×8 + 18×14 + 17×20 + 16×16 + 15×26 + 14×26 + 13×36 + 12×53 + 11×73 + 10×78 + 9×89 + 8×146 + 7×171 + 6×282 + 5×422 + 4×807 + 3×1794 + 2×5058)
14	3307	7356 (21 + 17 + 13 + 11×2 + 10 + 9×2 + 8×3 + 7×7 + 6×13 + 5×21 + 4×73 + 3×343 + 2×2839)
23	3296	7851 (53 + 18 + 15×2 + 12 + 11×2 + 10×4 + 9×5 + 8×10 + 7×14 + 6×29 + 5×62 + 4×117 + 3×405 + 2×2643)
34	8731	35088 (70 + 59 + 58 + 54 + 53 + 51×2 + 50 + 49 + 48 + 47 + 46×2 + 45 + 44×4 + 43 + 42×2 + 41×2 + 40×3 + 38×3 + 37×5 + 36 + 35×2 + 34×3 + 33×6 + 32×6 + 31×6 + 30×9 + 29×5 + 28×6 + 27×6 + 26×10 + 25×5 + 24×9 + 23×11 + 22×12 + 21×17 + 20×20 + 19×16 + 18×20 + 17×26 + 16×25 + 15×40 + 14×33 + 13×49 + 12×49 + 11×81 + 10×94 + 9×115 + 8×135 + 7×205 + 6×318 + 5×425 + 4×768 + 3×1546 + 2×4618)
123	6830	16495 (21 + 19 + 16×2 + 14×4 + 13×3 + 12×7 + 11×6 + 10×8 + 9×14 + 8×17 + 7×27 + 6×59 + 5×101 + 4×310 + 3×1008 + 2×5262)
124	6212	14279 (10 + 9×9 + 8×8 + 7×22 + 6×26 + 5×72 + 4×212 + 3×882 + 2×4980)
134	5728	12873 (14 + 10 + 9×2 + 8×10 + 7×6 + 6×14 + 5×51 + 4×161 + 3×762 + 2×4720)
234	6568	15218 (10×2 + 9×4 + 8×9 + 7×19 + 6×31 + 5×100 + 4×279 + 3×907 + 2×5217)

********************************
1+. TABLE
********************************
5058	1794	807	422	282	171	146	89	78	73	53
3395	645	251	123	80	40	17	24	12	11	8
2839	343	73	21	13	7	3	2	1	2	0
2643	405	117	62	29	14	10	5	4	2	1
3150	632	208	108	50	42	21	11	10	9	12
4618	1546	768	425	318	205	135	115	94	81	49
5262	1008	310	101	59	27	17	14	8	6	7
4980	882	212	72	26	22	8	9	1	0	0
4720	762	161	51	14	6	10	2	1	0	0
5217	907	279	100	31	19	9	4	2	0	0

********************************
2. CONSTRUCTION
********************************
======== 24 ========
…头…脑	45	突头突脑,地头地脑,小头小脑,傻头傻脑,獃头獃脑,忤头忤脑,怯头怯脑,混头混脑,戆头戆脑,憨头憨脑,毛头毛脑,疯头疯脑,猴头猴脑,秃头秃脑,瘟头瘟脑,埋头埋脑,村头村脑,摆头撼脑,懵头懵脑,眉头眼脑,挣头科脑,横头横脑,斜头歪脑,浑头浑脑,笨头笨脑,癫头癫脑,鹰头雀脑,木头木脑,寿头寿脑,肉头肉脑,脱头脱脑,直头直脑,寻头讨脑,针头线脑,丑头怪脑,傲头傲脑,头头脑脑,依头顺脑,骨头骨脑,撑头获脑,踱头踱脑,团头团脑,松头日脑,土头土脑,露头露脑
…言…语	39	街言巷语,私言切语,讹言谎语,不言不语,妄言妄语,多言多语,言言语语,片言只语,黑言诳语,自言自语,谗言佞语,话言话语,龙言凤语,劖言讪语,方言土语,七言八语,作言造语,诓言诈语,迷言迷语,谜言谜语,奇言怪语,涎言涎语,空言虚语,寡言少语,隽言妙语,只言片语,陈言腐语,秽言污语,冲言冲语,詀言詀语,出言吐语,穷言杂语,花言巧语,伤言扎语,酒言酒语,殊言别语,千言万语,你言我语,豪言壮语
…天…地	38	九天九地,用天因地,开天辟地,瞎天盲地,冤天屈地,锦天绣地,枫天枣地,规天矩地,咒天骂地,假天假地,烦天恼地,阔天阔地,胡天胡地,嘻天哈地,一天一地,熯天炽地,见天见地,拖天扫地,毁天灭地,寂天寞地,知天知地,经天纬地,流天澈地,改天换地,谢天谢地,荆天棘地,清天浊地,高天厚地,成天平地,欢天喜地,战天斗地,云天雾地,蹐天跼地,将天就地,远天远地,洞天福地,冰天雪地,叫天吖地
…风…雨	30	震风陵雨,尧风舜雨,征风召雨,挡风遮雨,怕风怯雨,翻风滚雨,吞风饮雨,冲风冒雨,粜风卖雨,别风淮雨,遮风挡雨,列风淫雨,十风五雨,恶风恶雨,友风子雨,伴风搭雨,招风惹雨,蛮风瘴雨,血风肉雨,柔风甘雨,咸风蛋雨,晨风零雨,祥风时雨,驰风骋雨,风风雨雨,未风先雨,五风十雨,好风好雨,呼风唤雨,箕风毕雨
…三…四	28	没三没四,朝三暮四,倒三颠四,老三老四,摘三问四,瞎三话四,三三四四,颠三倒四,唠三叨四,东三西四,第三十四,埋三怨四,狂三诈四,勾三搭四,歪三扭四,再三再四,求三拜四,前三后四,察三访四,缺三短四,接三连四,唇三口四,偏三向四,传三过四,差三错四,低三下四,怕三怕四,言三语四
…手…脚	26	摊手摊脚,生手生脚,羞手羞脚,楞手楞脚,拍手拍脚,多手多脚,小手小脚,毛手毛脚,逼手逼脚,缩手缩脚,大手大脚,一手一脚,绊手绊脚,七手八脚,扭手扭脚,登手登脚,攧手攧脚,侮手侮脚,贼手贼脚,捻手捻脚,扯手扯脚,摄手摄脚,叉手叉脚,腥手污脚,踅手踅脚,蛮手蛮脚
…而…之	26	折而族之,生而知之,默而识之,埋而掘之,俯而就之,困而学之,聚而歼之,因而变之,恭而敬之,神而明之,兼而有之,弦而鼓之,敬而远之,堂而皇之,望而畏之,品而第之,取而代之,虚而虚之,推而广之,笼而统之,久而久之,扩而充之,尤而效之,大而化之,畏而爱之,耳而目之
…来…去	25	年来岁去,一来二去,暮来朝去,来来去去,浮来暂去,丝来线去,南来北去,左来右去,游来游去,跌来碰去,逛来逛去,过来过去,东来西去,春来秋去,跋来报去,生来死去,直来直去,飞来飞去,朝来暮去,好来好去,你来我去,有来有去,跳来跳去,转来转去,人来客去
…声…气	24	憨声憨气,乳声乳气,虎声虎气,怯声怯气,好声好气,淘声斗气,慢声慢气,粗声粗气,冷声冷气,尖声尖气,恶声恶气,硬声硬气,闷声闷气,声声气气,奶声奶气,敛声屏气,大声小气,脱声脱气,不声不气,嗲声嗲气,娇声娇气,呶声呶气,蛮声獠气,侉声野气
…上…下	23	不上不下,脸上脸下,傲上矜下,楼上楼下,路上路下,益上损下,七上八下,从上到下,没上没下,足上首下,能上能下,天上天下,心上心下,奈上祝下,冠上履下,刺上化下,损上益下,碍上碍下,上上下下,直上直下,忐上忑下,头上末下,自上而下
